Scores	Trial Num	EIG	AIG
0.21875	3	0.4142903292415667	1.2159602738823734	
0.21875	3	0.4142903292415667	1.2159602738823734	
0.21875	3	0.4142903292415667	1.2159602738823734	
0.21875	3	0.4142903292415667	1.2159602738823734	
0.21875	3	0.4142903292415667	1.2159602738823734	
1.0	4	0.1485479449062131	1.2352413063939829	
1.0	4	0.1485479449062131	1.2352413063939829	
1.0	4	0.1485479449062131	1.2352413063939829	
1.0	4	0.1485479449062131	1.2352413063939829	
1.0	4	0.1485479449062131	1.2352413063939829	
0.4375	7	0.30861915443844146	0.9075317945949786	
0.4375	6	0.17128448724890707	1.1263806610455258	
0.4375	7	0.22924203940250834	0.9654691380390223	
0.4375	6	0.20975031073718145	1.0109831905807027	
0.4375	7	0.30861915443844146	0.9075317945949786	
0.734375	6	0.23499911574027865	1.126380661045526	
0.734375	6	0.13415958549386828	1.1263806610455258	
0.734375	6	0.13415958549386828	1.1263806610455258	
0.734375	6	0.23499911574027865	1.126380661045526	
0.734375	6	0.23499911574027865	1.126380661045526	
0.65625	8	0.174489249919284	0.8447854957841443	
0.65625	8	0.13457737649376683	0.8447854957841443	
0.65625	8	0.174489249919284	0.8447854957841443	
0.65625	8	0.174489249919284	0.8447854957841443	
0.65625	8	0.174489249919284	0.8447854957841443	
0.640625	9	0.17990094677660154	0.7509204406970171	
0.640625	9	0.1799009467766015	0.7509204406970171	
0.640625	9	0.1799009467766015	0.7509204406970171	
0.640625	9	0.1799009467766015	0.7509204406970171	
0.640625	9	0.1799009467766015	0.7509204406970171	
0.640625	9	0.13424632649741786	0.7509204406970172	
0.640625	9	0.16293478617266646	0.7509204406970172	
0.640625	9	0.16293478617266646	0.7509204406970172	
0.640625	9	0.13424632649741786	0.7509204406970172	
0.640625	10	0.24284866561658758	0.635272256216485	
0.484375	9	0.2576592503838097	0.705858062462761	
0.484375	9	0.2576592503838097	0.705858062462761	
0.484375	8	0.28709695976378746	0.8447854957841443	
0.484375	9	0.2576592503838097	0.705858062462761	
0.484375	10	0.26651256648487565	0.6758283966273154	
0.71875	7	0.11398937578558566	0.9654691380390222	
0.71875	6	0.20115701941106698	1.0109831905807025	
0.71875	6	0.13062408715456994	1.0109831905807025	
0.71875	6	0.13062408715456994	1.0109831905807025	
0.71875	6	0.13062408715456994	1.0109831905807025	
0.71875	8	0.18826424851988877	0.8447854957841443	
0.71875	8	0.15029125798871423	0.8447854957841443	
0.71875	8	0.18826424851988877	0.8447854957841443	
0.71875	7	0.14727162909178418	0.8665570204977451	
0.71875	7	0.14727162909178418	0.8665570204977451	
0.640625	6	0.1282059222701998	1.1263806610455258	
0.640625	6	0.14483131095803833	1.1263806610455258	
0.640625	6	0.14483131095803833	1.1263806610455258	
0.640625	7	0.13201077537023734	0.965469138039022	
0.640625	7	0.12744838829307872	0.965469138039022	
0.5	7	0.18858284770838524	0.8665570204977452	
0.5	9	0.27420635947080463	0.7509204406970172	
0.5	8	0.20828404316914578	0.8447854957841443	
0.5	9	0.27420635947080463	0.7509204406970172	
0.5	7	0.18858284770838524	0.8665570204977452	
0.484375	9	0.2576592503838097	0.705858062462761	
0.484375	10	0.26651256648487565	0.6758283966273154	
0.484375	7	0.2606846865323204	0.866418804782182	
0.484375	8	0.26824200070502147	0.7940903202706062	
0.484375	8	0.26824200070502147	0.7940903202706062	
0.71875	6	0.14766912089654285	1.0109831905807025	
0.71875	7	0.1194649440163175	0.8665570204977451	
0.71875	7	0.1194649440163175	0.8665570204977451	
0.71875	6	0.14766912089654285	1.0109831905807025	
0.71875	7	0.1194649440163175	0.8665570204977451	
0.71875	7	0.18727804642985066	0.8665570204977452	
0.71875	8	0.1175817408496921	0.7961547018987378	
0.71875	7	0.1258748630780929	0.8665570204977452	
0.71875	8	0.1175817408496921	0.7961547018987378	
0.71875	8	0.17130952628248008	0.7961547018987378	
0.78125	7	0.12236448780877118	0.965469138039022	
0.78125	6	0.20123355799658457	1.0109831905807027	
0.78125	7	0.12236448780877118	0.965469138039022	
0.78125	6	0.20123355799658457	1.0109831905807027	
0.78125	7	0.12236448780877118	0.965469138039022	
0.71875	7	0.1291647804316129	0.8665570204977452	
0.71875	7	0.1291647804316129	0.8665570204977452	
0.71875	7	0.12909360686144236	0.8665570204977452	
0.71875	7	0.1291647804316129	0.8665570204977452	
0.71875	7	0.1291647804316129	0.8665570204977452	
0.5625	9	0.23691553402725982	0.7509204406970171	
