"new_dat.ElementsSelected","rt_select","rt_review"
"Air Earth",6118,7471
"Air Fire",3466,3389
"Air Water",3950,1927
"Air Earth Fire",3720,1598
"Earth Fire",3290,1344
"Earth Fire Water",5637,1624
"Fire Water",12139,993
"Earth Water",3152,3058
