"new_dat.ElementsSelected","rt_select","rt_review"
"Air Earth",15421,18419
"Air Earth Fire Water",6031,30475
"Fire Water",11570,4247
"Earth Fire Water",79681,5000
"Air Water",246827,4395
"Air Fire Water",145349,2131
"Air Earth Water",26744,18868
