"new_dat.ElementsSelected","rt_select","rt_review"
"Air Fire",35780,7029
"Earth Fire",10313,2212
"Fire Water",7997,1044
"Air Earth",16795,4976
"Air Fire",17162,1277
"Earth Water",6416,1344
"Air Earth Fire Water",18093,16327
"Earth Fire Water",33828,3559
