"new_dat.ElementsSelected","rt_select","rt_review"
"Air Earth Fire Water",55455,28823
"Air Earth Fire",36930,2753
"Air Earth Water",26255,2857
"Earth Fire Water",299951,3445
"Air Fire Water",92857,3364
"Air Earth",50015,1599
"Earth Water",234767,13621
"Earth Fire",212377,3495
