"new_dat.ElementsSelected","rt_select","rt_review"
"Earth Water",16585,4968
"Air Fire",14717,3144
"Earth Fire",14804,2459
"Air Earth",21795,37314
"Air Fire Water",78510,3472
"Earth Fire Water",29757,4274
"Air Earth Fire Water",25688,3900
"Air Earth Water",213244,2336
