"new_dat.ElementsSelected","rt_select","rt_review"
"Air Earth Fire",255598,12900
"Air Earth Water",14285,16569
"Earth Fire Water",5484,43898
"Air Fire Water",10836,2747
"Air Water",166025,14852
"Earth Water",6334,20671
"Fire Water",113513,13207
"Air Fire",182981,1542
