"new_dat.ElementsSelected","rt_select","rt_review"
"Air Earth Fire",12981,7661
"Air Fire Water",8726,10729
"Fire Water",20411,3211
"Earth Fire Water",17296,3393
"Air Earth Fire Water",13896,7894
"Earth Fire",29612,1410
"Air Earth",13961,3195
"Earth Water",35877,1527
