"new_dat.ElementsSelected","rt_select","rt_review"
"Air Earth",2411,643
"Air Fire",1596,744
"Air Water",1912,594
"Earth Fire",2178,644
"Earth Water",1661,578
"Fire Water",1997,610
"Air Earth Fire Water",3094,710
"Air Earth Water",5263,1578
