"new_dat.ElementsSelected","rt_select","rt_review"
"Air Earth",135243,23112
"Air Fire",32882,21118
"Air Water",8772,12266
"Fire Water",7005,6072
"Air Fire Water",52111,6335
"Earth Fire",21010,5091
"Earth Water",27170,5729
"Earth Fire Water",42968,6246
