"new_dat.ElementsSelected","rt_select","rt_review"
"Air Earth",62372,6697
"Fire Water",89152,15205
"Air Earth Fire",155519,2729
"Earth Fire Water",16685,6182
"Earth Water",36565,1895
"Fire Water",3632,1446
"Air Earth Water",25657,9566
"Air Fire Water",62995,3312
