"new_dat.ElementsSelected","rt_select","rt_review"
"Earth Fire",35963,5324
"Air Earth Fire Water",7938,5193
"Air Earth Fire",8730,1611
"Earth Fire Water",13706,1645
"Air Fire",36428,1677
"Air Water",5060,1320
"Air Fire Water",43257,2169
"Air Earth",409318,2751
