"new_dat.ElementsSelected","rt_select","rt_review"
"Air Earth Fire",18417,43381
"Air Fire Water",9513,4868
"Earth Fire Water",22501,16421
"Air Earth Fire Water",360199,23314
"Air Earth Water",83234,9235
"Earth Fire Water",47354,1106
