"new_dat.ElementsSelected","rt_select","rt_review"
"Air Earth",41400,14751
"Air Fire",10165,2646
"Air Water",16406,1694
"Earth Fire",16653,1796
"Air Earth Water",54171,2011
"Fire Water",77134,1944
"Air Earth Fire Water",99841,2264
"Earth Water",57108,1811
