"new_dat.ElementsSelected","rt_select","rt_review"
"Air Earth Fire",86704,27259
"Air Earth Water",21874,4352
"Air Earth",51569,2024
"Air Fire",33485,1471
"Earth Fire",10830,1344
"Fire Water",37132,2839
"Air Water",248790,3184
"Earth Fire Water",417262,4029
